time,signal_1,signal_2,signal_3,temperature,target
9.156,0.3433,-0.941,-0.591,20.963,-0.2831
9.22,0.0801,-1.1238,-0.3413,21.1123,-0.3668
9.283,0.0096,-1.1307,-0.3007,20.3303,-0.3849
9.346,0.131,-1.0687,-0.1201,20.0885,-0.411
9.409,0.0455,-1.0212,-0.092,19.3756,-0.4533
9.472,-0.0223,-0.9678,0.1032,19.3017,-0.5325
9.535,-0.0756,-0.8464,0.2037,18.7727,-0.5557
9.598,-0.2408,-0.8992,0.4571,18.6481,-0.6864
9.662,-0.2114,-0.9881,0.4815,19.3538,-0.5997
9.725,-0.2662,-0.9573,0.5983,18.0479,-0.7214
9.788,-0.4266,-1.0351,0.6228,19.5403,-0.704
9.851,-0.2269,-0.9124,0.7042,18.1794,-0.7822
9.914,-0.4227,-0.9115,0.7866,17.742,-0.8129
9.977,-0.644,-0.8189,0.9329,16.9466,-0.8402
10.04,-0.5119,-0.8991,0.9009,17.4625,-0.8758
10.104,-0.7254,-0.7264,1.0064,16.5727,-0.892
10.167,-0.597,-0.5839,1.2038,16.6822,-0.88
10.23,-0.6051,-0.7039,1.0863,17.6754,-0.9551
10.293,-0.8453,-0.606,0.9537,16.1359,-0.9441
10.356,-0.7061,-0.5277,1.0778,16.5623,-0.9948
10.419,-0.7972,-0.585,0.873,15.4558,-0.9251
10.483,-0.789,-0.4684,0.6515,15.6263,-1.0337
10.546,-0.7108,-0.4336,0.6824,16.383,-0.9087
10.609,-0.9507,-0.3674,0.5116,15.0559,-0.9956
10.672,-1.0235,-0.3953,0.5679,16.1658,-1.056
10.735,-1.0552,-0.2551,0.4996,15.5225,-0.965
10.798,-1.0622,-0.1463,0.5521,14.8158,-0.9886
10.861,-0.9987,0.0113,0.2979,15.3612,-0.8918
10.925,-0.9634,0.0249,0.1197,15.4989,-0.942
10.988,-0.9723,0.2074,0.0987,15.3111,-0.9036
11.051,-0.9158,-0.0215,-0.3314,14.2225,-0.9442
11.114,-0.9917,0.2054,-0.211,14.6714,-0.8374
11.177,-0.8382,0.1989,-0.2781,14.9584,-0.8978
11.24,-0.9967,0.4612,-0.6179,15.1117,-0.8145
11.303,-0.681,0.2222,-0.4631,15.5454,-0.653
11.367,-0.8694,0.2786,-0.6419,15.429,-0.6048
11.43,-0.9929,0.3607,-0.8047,14.7962,-0.5732
11.493,-0.986,0.2647,-0.7752,15.7957,-0.5909
11.556,-0.7988,0.479,-0.6734,16.0702,-0.4909
11.619,-0.8341,0.508,-0.9299,16.2209,-0.4326
11.682,-0.7019,0.6491,-0.9558,16.6738,-0.4326
11.745,-0.6844,0.7157,-1.0434,16.7581,-0.2403
11.809,-0.6946,0.914,-1.0835,16.7931,-0.2111
11.872,-0.7248,0.8633,-0.9005,16.7644,-0.2044
11.935,-0.7418,0.7495,-1.0386,16.2178,-0.1298
11.998,-0.5829,0.753,-0.9001,17.5237,-0.0579
12.061,-0.3983,0.9243,-0.8948,17.684,-0.1073
12.124,-0.4064,0.7719,-0.7254,17.9969,0.0456
12.187,-0.4945,1.1122,-0.6539,17.5122,0.0867
12.251,-0.2932,1.0685,-0.4866,17.9069,0.1331
12.314,-0.2114,0.9214,-0.535,19.277,0.2308
12.377,-0.2767,0.8108,-0.3969,19.0387,0.3955
12.44,-0.1106,1.1274,-0.3478,19.711,0.3971
12.503,-0.0573,0.9866,-0.1704,19.6986,0.3945
12.566,-0.1143,1.1238,0.0377,20.0149,0.5081
